Date,Close,High,Low,Open,Volume,Stock_Name,Ticker,Country
2025-01-01,1216.391845703125,1221.4218053468785,1206.7802092584152,1210.0172807004092,5892590.0,Reliance Industries,RELIANCE.NS,India
2025-01-02,1236.860107421875,1239.4994683243335,1215.1467802555553,1216.3918076943417,15486276.0,Reliance Industries,RELIANCE.NS,India
2025-01-03,1246.1729736328125,1257.0296379589822,1230.5852047154665,1238.9518139936486,15521102.0,Reliance Industries,RELIANCE.NS,India
2025-01-06,1213.15478515625,1256.9797527645217,1210.1667191829588,1248.961727102304,14816766.0,Reliance Industries,RELIANCE.NS,India
2025-01-07,1235.913818359375,1239.5493228115217,1216.3918123612464,1217.1388288273843,10070505.0,Reliance Industries,RELIANCE.NS,India
2025-01-08,1260.4658203125,1265.9937909556584,1240.395953024955,1244.0314575822304,19346579.0,Reliance Industries,RELIANCE.NS,India
2025-01-09,1249.758544921875,1264.6988742096441,1243.0852464738894,1261.9598138402198,12794704.0,Reliance Industries,RELIANCE.NS,India
2025-01-10,1236.959716796875,1251.750618829338,1231.0831628192257,1248.8621307808614,8120332.0,Reliance Industries,RELIANCE.NS,India
2025-01-13,1234.9178466796875,1240.2963897717905,1221.5213994754447,1225.1070543419412,13764861.0,Reliance Industries,RELIANCE.NS,India
2025-01-14,1233.822265625,1248.3641626627486,1222.3680125031533,1239.1509590647415,13095266.0,Reliance Industries,RELIANCE.NS,India
2025-01-15,1247.2186279296875,1251.9995818882041,1236.90982514039,1239.9974688456068,9578856.0,Reliance Industries,RELIANCE.NS,India
2025-01-16,1261.4119873046875,1269.9280238633037,1246.3223515830243,1253.8920943102864,14117603.0,Reliance Industries,RELIANCE.NS,India
2025-01-17,1297.169189453125,1320.7251333812799,1279.888232575373,1316.9900509904955,29366277.0,Reliance Industries,RELIANCE.NS,India
2025-01-20,1300.2568359375,1310.764916385877,1295.0775703121099,1310.764916385877,14040244.0,Reliance Industries,RELIANCE.NS,India
2025-01-21,1268.6331787109375,1307.776892128252,1265.1471016946018,1305.2868371165837,14562976.0,Reliance Industries,RELIANCE.NS,India
2025-01-22,1272.0196533203125,1277.7966294698952,1263.6530443254642,1273.2149526536994,10273590.0,Reliance Industries,RELIANCE.NS,India
2025-01-23,1258.6231689453125,1272.2686211078578,1256.581275301743,1264.9478840486133,8720682.0,Reliance Industries,RELIANCE.NS,India
2025-01-24,1241.34228515625,1267.9360243063209,1238.5533748820974,1260.9638702056575,14235970.0,Reliance Industries,RELIANCE.NS,India
2025-01-27,1224.4595947265625,1235.515414368934,1215.1468135462453,1234.1708090151494,9536019.0,Reliance Industries,RELIANCE.NS,India
2025-01-28,1229.4896240234375,1239.7984277662488,1213.6528493538253,1233.0752790316255,10568025.0,Reliance Industries,RELIANCE.NS,India
2025-01-29,1230.585205078125,1237.8063647194172,1223.1648896668228,1231.0832160878692,5928156.0,Reliance Industries,RELIANCE.NS,India
2025-01-30,1248.0654296875,1251.9996679975989,1227.497550840604,1230.635044492625,9269259.0,Reliance Industries,RELIANCE.NS,India
2025-01-31,1260.0673828125,1261.9598488917904,1244.0314532484974,1250.8541794958078,6584612.0,Reliance Industries,RELIANCE.NS,India
2025-02-01,1259.5693359375,1265.495739501575,1236.0632421918099,1260.0673469134033,7118453.0,Reliance Industries,RELIANCE.NS,India
2025-02-03,1240.94384765625,1251.003645649064,1232.6270881824535,1246.0235355947286,9252345.0,Reliance Industries,RELIANCE.NS,India
2025-02-04,1280.08740234375,1283.6731787459128,1241.6409781641657,1243.0852829885687,16691069.0,Reliance Industries,RELIANCE.NS,India
2025-02-05,1273.115234375,1285.366353249074,1271.6212014188793,1277.5476050956522,10112028.0,Reliance Industries,RELIANCE.NS,India
2025-02-06,1276.4520263671875,1282.8763195509282,1265.2965071593937,1268.6331564996678,9956001.0,Reliance Industries,RELIANCE.NS,India
2025-02-07,1261.6610107421875,1278.5933846345008,1256.979756005846,1271.073491533156,8764283.0,Reliance Industries,RELIANCE.NS,India
2025-02-10,1248.6629638671875,1261.461821832557,1240.5952102474196,1259.469777897567,6970972.0,Reliance Industries,RELIANCE.NS,India
2025-02-11,1229.937744140625,1259.5196705337273,1225.2066396338644,1259.5196705337273,8859714.0,Reliance Industries,RELIANCE.NS,India
2025-02-12,1211.7105712890625,1222.0193743195214,1188.6027887286011,1214.5989377224967,21131654.0,Reliance Industries,RELIANCE.NS,India
2025-02-13,1211.2623291015625,1223.1150152108587,1207.1786632211406,1212.2086229517822,8511216.0,Reliance Industries,RELIANCE.NS,India
2025-02-14,1212.40771484375,1219.1308629852126,1200.6546072366423,1214.1507532507958,10298145.0,Reliance Industries,RELIANCE.NS,India
2025-02-17,1220.02734375,1222.6169765728448,1199.7084711054922,1206.2821918357026,8166683.0,Reliance Industries,RELIANCE.NS,India
2025-02-18,1220.525390625,1225.0074896525716,1211.2623373341316,1219.9775298877432,6673250.0,Reliance Industries,RELIANCE.NS,India
2025-02-19,1222.567138671875,1227.8461038341088,1212.706618273488,1214.6488125132394,6217338.0,Reliance Industries,RELIANCE.NS,India
2025-02-20,1228.0950927734375,1234.4198079853766,1217.1388510698625,1219.0810452834291,7795582.0,Reliance Industries,RELIANCE.NS,India
2025-02-21,1223.264404296875,1235.0672403005465,1217.2882724889691,1223.8121434284387,6904025.0,Reliance Industries,RELIANCE.NS,India
2025-02-24,1209.718505859375,1218.3838481751116,1205.68456833515,1211.7105497558396,7172498.0,Reliance Industries,RELIANCE.NS,India
2025-02-25,1199.21044921875,1216.1428226711741,1196.7203942992758,1206.1826029932777,11552182.0,Reliance Industries,RELIANCE.NS,India
2025-02-27,1202.298095703125,1210.166693583284,1195.8738026303336,1207.975493883109,11509215.0,Reliance Industries,RELIANCE.NS,India
2025-02-28,1195.325927734375,1212.5073065135477,1188.5530513693543,1197.218393771922,23007298.0,Reliance Industries,RELIANCE.NS,India
2025-03-03,1166.5906982421875,1201.6506219268736,1151.4013636439433,1199.2104168056296,17944938.0,Reliance Industries,RELIANCE.NS,India
2025-03-04,1157.2779541015625,1169.3297956512124,1154.9373267832577,1157.576687742468,11377373.0,Reliance Industries,RELIANCE.NS,India
2025-03-05,1170.9234619140625,1178.2940491759787,1152.3974766666165,1156.3815647449799,8664095.0,Reliance Industries,RELIANCE.NS,India
2025-03-06,1204.7882080078125,1209.1208794668382,1180.4355183146993,1192.2383549047067,14468014.0,Reliance Industries,RELIANCE.NS,India
2025-03-07,1244.828369140625,1249.8084792402678,1207.178688153437,1211.1627762331514,16474965.0,Reliance Industries,RELIANCE.NS,India
2025-03-10,1233.4736328125,1252.9956391209716,1230.4855669004469,1240.0473535020744,11931051.0,Reliance Industries,RELIANCE.NS,India
2025-03-11,1242.3382568359375,1244.5294565449083,1224.858022557904,1235.0672477916657,10089838.0,Reliance Industries,RELIANCE.NS,India
2025-03-12,1252.0494384765625,1257.9757204337955,1239.0513034201438,1252.995610693361,11977555.0,Reliance Industries,RELIANCE.NS,India
2025-03-13,1242.9359130859375,1259.1212710412995,1238.901975238559,1255.0376050433522,9505270.0,Reliance Industries,RELIANCE.NS,India
2025-03-17,1233.9217529296875,1252.3980085038181,1228.1946267891797,1237.208673957254,16640917.0,Reliance Industries,RELIANCE.NS,India
2025-03-18,1233.9217529296875,1233.9217529296875,1233.9217529296875,1233.9217529296875,0.0,Reliance Industries,RELIANCE.NS,India
2025-03-19,1242.1888427734375,1248.2645525643281,1233.8720835165427,1236.113132982547,16162399.0,Reliance Industries,RELIANCE.NS,India
2025-03-20,1264.101318359375,1267.9359786597456,1245.0773228865291,1246.8700894970418,15971477.0,Reliance Industries,RELIANCE.NS,India
2025-03-21,1271.2725830078125,1275.9041093610767,1265.0474458622177,1269.927977701306,21780769.0,Reliance Industries,RELIANCE.NS,India
2025-03-24,1296.920166015625,1300.8046759652354,1279.141198398433,1285.86434660882,20299319.0,Reliance Industries,RELIANCE.NS,India
2025-03-25,1280.33642578125,1302.497915186312,1277.4977874103538,1302.497915186312,13713899.0,Reliance Industries,RELIANCE.NS,India
2025-03-26,1267.98583984375,1288.6532960847499,1263.7028966635362,1285.8643858858131,12074747.0,Reliance Industries,RELIANCE.NS,India
2025-03-27,1273.115234375,1279.8882324099652,1266.242780044616,1273.0655062272906,15028056.0,Reliance Industries,RELIANCE.NS,India
2025-03-28,1270.027587890625,1290.5954658598978,1263.9518781988888,1274.9081198538831,18147129.0,Reliance Industries,RELIANCE.NS,India
2025-04-01,1247.6170654296875,1272.8164693011493,1244.330265958221,1259.5693287834792,12099648.0,Reliance Industries,RELIANCE.NS,India
